word,cat
awful,thin_concepts_NEG
terrible,thin_concepts_NEG
bad,thin_concepts_NEG
good,thin_concepts_POS
great,thin_concepts_POS
terrific,thin_concepts_POS
courageous,thick_moral_concepts_POS
compassionate,thick_moral_concepts_POS
honest,thick_moral_concepts_POS
generous,thick_moral_concepts_POS
friendly,thick_moral_concepts_POS
reckless,thick_moral_concepts_NEG
cruel,thick_moral_concepts_NEG
vicious,thick_moral_concepts_NEG
selfish,thick_moral_concepts_NEG
rude,thick_moral_concepts_NEG
funny,thick_non-moral_concepts_POS
beautiful,thick_non-moral_concepts_POS
delicious,thick_non-moral_concepts_POS
wise,thick_non-moral_concepts_POS
justified,thick_non-moral_concepts_POS
boring,thick_non-moral_concepts_NEG
ugly,thick_non-moral_concepts_NEG
disgusting,thick_non-moral_concepts_NEG
stupid,thick_non-moral_concepts_NEG
insane,thick_non-moral_concepts_NEG
rich,value-associated_concepts_POS
quiet,value-associated_concepts_POS
tall,value-associated_concepts_POS
shiny,value-associated_concepts_POS
sunny,value-associated_concepts_POS
broken,value-associated_concepts_NEG
bloody,value-associated_concepts_NEG
empty,value-associated_concepts_NEG
homeless,value-associated_concepts_NEG
closed,value-associated_concepts_NEG
loud,descriptive_concepts
dry,descriptive_concepts
short,descriptive_concepts
large,descriptive_concepts
permanent,descriptive_concepts
narrow,descriptive_concepts
rainy,descriptive_concepts
yellow,descriptive_concepts
wooden,descriptive_concepts
